,IndicatorCode,Indicator,ValueType,RegionCode,Region,SpatialDimValueCode,Country,Year,IsLatestYear,Sex,Sex_Code,MortalityRate,MortalityRate-Low,MortalityRate-High,Value,Language,DateModified,CountryCode
51,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2021,True,Both sexes,BTSX,10.87,6.08,18.94,10.87 [6.08 – 18.94],EN,2023-02-16T00:00:00.000Z,
52,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,PER,Peru,2021,True,Both sexes,BTSX,10.96,8.71,13.97,10.96 [8.71 – 13.97],EN,2023-02-16T00:00:00.000Z,PER
55,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,COL,Colombia,2021,True,Both sexes,BTSX,11.06,7.23,16.75,11.06 [7.23 – 16.75],EN,2023-02-16T00:00:00.000Z,COL
56,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,BRB,Barbados,2021,True,Both sexes,BTSX,11.06,7.26,16.96,11.06 [7.26 – 16.96],EN,2023-02-16T00:00:00.000Z,BRB
62,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,MEX,Mexico,2021,True,Both sexes,BTSX,11.4,9.7,13.34,11.4 [9.7 – 13.34],EN,2023-02-16T00:00:00.000Z,MEX
63,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,BHS,Bahamas,2021,True,Both sexes,BTSX,11.41,9.79,13.32,11.41 [9.79 – 13.32],EN,2023-02-16T00:00:00.000Z,BHS
64,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,NIC,Nicaragua,2021,True,Both sexes,BTSX,11.41,9.86,13.05,11.41 [9.86 – 13.05],EN,2023-02-16T00:00:00.000Z,NIC
67,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,CPV,Cabo Verde,2021,True,Both sexes,BTSX,11.66,8.94,15.12,11.66 [8.94 – 15.12],EN,2023-02-16T00:00:00.000Z,CPV
70,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,PAN,Panama,2021,True,Both sexes,BTSX,11.94,5.94,23.49,11.94 [5.94 – 23.49],EN,2023-02-16T00:00:00.000Z,PAN
73,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,SYC,Seychelles,2021,True,Both sexes,BTSX,11.98,9.21,15.68,11.98 [9.21 – 15.68],EN,2023-02-16T00:00:00.000Z,SYC
75,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,STP,Sao Tome and Principe,2021,True,Both sexes,BTSX,12.14,6.83,21.35,12.14 [6.83 – 21.35],EN,2023-02-16T00:00:00.000Z,STP
76,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,MDA,Republic of Moldova,2021,True,Both sexes,BTSX,12.22,8.64,17.37,12.22 [8.64 – 17.37],EN,2023-02-16T00:00:00.000Z,
78,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,KNA,Saint Kitts and Nevis,2021,True,Both sexes,BTSX,12.25,8.17,18.75,12.25 [8.17 – 18.75],EN,2023-02-16T00:00:00.000Z,KNA
81,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,JOR,Jordan,2021,True,Both sexes,BTSX,12.56,8.75,18.11,12.56 [8.75 – 18.11],EN,2023-02-16T00:00:00.000Z,JOR
82,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,VCT,Saint Vincent and the Grenadines,2021,True,Both sexes,BTSX,12.56,9.2,17.12,12.56 [9.2 – 17.12],EN,2023-02-16T00:00:00.000Z,VCT
83,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,UZB,Uzbekistan,2021,True,Both sexes,BTSX,12.57,11.41,14.31,12.57 [11.41 – 14.31],EN,2023-02-16T00:00:00.000Z,UZB
86,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,MNG,Mongolia,2021,True,Both sexes,BTSX,12.68,11.7,13.79,12.68 [11.7 – 13.79],EN,2023-02-16T00:00:00.000Z,MNG
89,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,PSE,Occupied Palestinian territory,2021,True,Both sexes,BTSX,12.77,9.24,17.6,12.77 [9.24 – 17.6],EN,2023-02-16T00:00:00.000Z,
91,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,BRA,Brazil,2021,True,Both sexes,BTSX,12.88,10.95,15.08,12.88 [10.95 – 15.08],EN,2023-02-16T00:00:00.000Z,BRA
108,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,TUN,Tunisia,2021,True,Both sexes,BTSX,14.03,11.86,16.5,14.03 [11.86 – 16.5],EN,2023-02-16T00:00:00.000Z,TUN
111,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,HND,Honduras,2021,True,Both sexes,BTSX,14.23,10.87,19.04,14.23 [10.87 – 19.04],EN,2023-02-16T00:00:00.000Z,HND
114,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,WSM,Samoa,2021,True,Both sexes,BTSX,14.37,9.95,20.23,14.37 [9.95 – 20.23],EN,2023-02-16T00:00:00.000Z,WSM
115,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,GRD,Grenada,2021,True,Both sexes,BTSX,14.42,11.86,17.61,14.42 [11.86 – 17.61],EN,2023-02-16T00:00:00.000Z,GRD
117,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,TTO,Trinidad and Tobago,2021,True,Both sexes,BTSX,14.6,5.96,35.93,14.6 [5.96 – 35.93],EN,2023-02-16T00:00:00.000Z,TTO
120,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,PLW,Palau,2021,True,Both sexes,BTSX,15.12,7.22,32.07,15.12 [7.22 – 32.07],EN,2023-02-16T00:00:00.000Z,PLW
122,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,MUS,Mauritius,2021,True,Both sexes,BTSX,15.31,12.82,18.25,15.31 [12.82 – 18.25],EN,2023-02-16T00:00:00.000Z,MUS
123,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,SUR,Suriname,2021,True,Both sexes,BTSX,15.35,9.68,24.53,15.35 [9.68 – 24.53],EN,2023-02-16T00:00:00.000Z,SUR
124,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,MAR,Morocco,2021,True,Both sexes,BTSX,15.42,10.68,21.71,15.42 [10.68 – 21.71],EN,2023-02-16T00:00:00.000Z,MAR
126,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,KGZ,Kyrgyzstan,2021,True,Both sexes,BTSX,15.55,14.95,16.31,15.55 [14.95 – 16.31],EN,2023-02-16T00:00:00.000Z,KGZ
127,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,PRY,Paraguay,2021,True,Both sexes,BTSX,15.57,7.55,31.28,15.57 [7.55 – 31.28],EN,2023-02-16T00:00:00.000Z,PRY
