,Region,Sex,Year,MortalityRate,MortalityRate_Total,MortalityRate_Percentage
114,Eastern Mediterranean,Male,2004,36.93363636363636,1916.4731818181817,1.9554545454545456
115,Eastern Mediterranean,Male,2005,35.88272727272727,1916.4731818181817,1.8877272727272727
116,Eastern Mediterranean,Male,2006,34.85545454545455,1916.4731818181817,1.8222727272727275
117,Eastern Mediterranean,Male,2007,33.82545454545454,1916.4731818181817,1.7590909090909093
118,Eastern Mediterranean,Male,2008,32.808181818181815,1916.4731818181817,1.6990909090909092
119,Eastern Mediterranean,Male,2009,31.827727272727273,1916.4731818181817,1.6427272727272728
120,Eastern Mediterranean,Male,2010,30.903181818181817,1916.4731818181817,1.5909090909090908
121,Eastern Mediterranean,Male,2011,30.142272727272726,1916.4731818181817,1.5513636363636365
122,Eastern Mediterranean,Male,2012,29.59,1916.4731818181817,1.5240909090909092
123,Eastern Mediterranean,Male,2013,28.954090909090908,1916.4731818181817,1.4913636363636364
124,Eastern Mediterranean,Male,2014,28.28681818181818,1916.4731818181817,1.4595454545454545
125,Eastern Mediterranean,Male,2015,27.473181818181818,1916.4731818181817,1.4104545454545454
126,Eastern Mediterranean,Male,2016,26.76181818181818,1916.4731818181817,1.374090909090909
127,Eastern Mediterranean,Male,2017,25.82681818181818,1916.4731818181817,1.3181818181818181
128,Eastern Mediterranean,Male,2018,25.236818181818183,1916.4731818181817,1.285909090909091
129,Eastern Mediterranean,Male,2019,24.58681818181818,1916.4731818181817,1.2531818181818182
130,Eastern Mediterranean,Male,2020,23.94727272727273,1916.4731818181817,1.220909090909091
131,Eastern Mediterranean,Male,2021,23.375,1916.4731818181817,1.1890909090909092
132,Europe,Female,2000,12.691320754716982,579.4611320754717,2.09811320754717
133,Europe,Female,2001,12.008867924528303,579.4611320754717,1.9960377358490566
134,Europe,Female,2002,11.360754716981132,579.4611320754717,1.899245283018868
135,Europe,Female,2003,10.737735849056603,579.4611320754717,1.8060377358490567
136,Europe,Female,2004,10.143207547169812,579.4611320754717,1.7166037735849058
137,Europe,Female,2005,9.574528301886792,579.4611320754717,1.6303773584905659
